TempS1;UmiS1;TempS2;UmiS2;Diff;DtGravacao
24,1;64;23,8;61;0,3;2025-08-26 11:22:17
24,1;64;23,8;60;0,3;2025-08-26 11:22:22
24,1;64;23,8;60;0,3;2025-08-26 11:22:27
24,1;64;23,7;60;0,4;2025-08-26 11:22:33
24,1;64;23,5;61;0,6;2025-08-26 11:22:38
24,1;64;23,4;61;0,7;2025-08-26 11:22:43
24,1;64;23,4;61;0,7;2025-08-26 11:22:48
24,1;64;23,4;61;0,7;2025-08-26 11:22:53
24,1;64;23,4;61;0,7;2025-08-26 11:22:58
24,1;64;23,4;60;0,7;2025-08-26 11:23:03
24,1;64;23,4;60;0,7;2025-08-26 11:23:08
24,1;64;23,4;61;0,7;2025-08-26 11:23:13
24,1;64;23,4;61;0,7;2025-08-26 11:23:18
24,1;64;23,4;61;0,7;2025-08-26 11:23:24
24,1;64;23,4;61;0,7;2025-08-26 11:23:29
24,1;64;23,4;61;0,7;2025-08-26 11:23:34
24,1;64;23,4;61;0,7;2025-08-26 11:23:39
24,1;64;23,4;61;0,7;2025-08-26 11:23:44
24,1;64;23,4;61;0,7;2025-08-26 11:23:49
24,1;64;23,4;61;0,7;2025-08-26 11:23:54
24,1;64;23,4;61;0,7;2025-08-26 11:23:59
24,1;64;23,4;61;0,7;2025-08-26 11:24:04
24,1;64;23,4;61;0,7;2025-08-26 11:24:10
24,1;64;23,4;61;0,7;2025-08-26 11:24:15
24,1;64;23,4;61;0,7;2025-08-26 11:24:20
24,1;64;23,4;61;0,7;2025-08-26 11:24:25
24,1;64;23,4;61;0,7;2025-08-26 11:24:30
24,1;64;23,4;61;0,7;2025-08-26 11:24:35
24,1;64;23,4;61;0,7;2025-08-26 11:24:40
24,1;64;23,4;61;0,7;2025-08-26 11:24:46
24,1;64;23,4;61;0,7;2025-08-26 11:24:51
24,1;64;23,4;61;0,7;2025-08-26 11:24:56
24,1;64;23,4;61;0,7;2025-08-26 11:25:01
24,1;64;23,4;61;0,7;2025-08-26 11:25:06
